Item1 Item2.X Item2.Y
0 439.0651 534.0682 
0.0183808 435.1305 533.8559 
0.0284416 432.7407 534.2183 
0.035712 431.0841 534.5319 
0.041088 429.6075 534.8528 
0.0470016 427.7954 535.0881 
0.0553344 426.284 534.9975 
0.0634496 423.7981 534.8289 
0.0717952 421.5967 534.236 
0.0807552 419.3321 533.6901 
0.0884224 417.2838 533.2494 
0.0967936 415.459 533.0645 
0.1051264 413.4268 532.7361 
0.1133952 410.3452 532.8947 
0.1217792 408.2489 532.8806 
0.1300864 406.6383 532.9672 
0.138432 404.8648 533.0405 
0.1467264 402.2435 532.3915 
0.1550848 399.9638 531.7662 
0.1634304 398.2131 531.0533 
0.1717376 396.5408 530.4207 
0.180032 394.7458 529.9844 
0.1883776 392.3965 529.8068 
0.1968896 390.3448 529.4739 
0.2051584 388.6938 529.1824 
0.2136448 387.1918 528.5772 
0.2217088 385.7468 528.073 
0.2300544 384.588 527.1014 
0.2383616 382.9042 526.0682 
0.2467072 381.0172 524.8045 
0.2550272 379.628 523.9974 
0.2633728 378.2925 523.266 
0.2716928 377.358 522.9125 
0.2800128 376.4864 522.7648 
0.2883712 375.2025 522.6229 
0.2966912 373.4738 522.2392 
0.3049984 371.7144 521.7972 
0.3134336 370.1023 521.4944 
0.321664 368.711 521.7811 
0.3299968 367.5117 521.9792 
0.3382528 365.812 521.7631 
0.3466624 363.8871 521.3714 
0.3549952 362.0326 521.3812 
0.3633152 360.3381 521.8282 
0.371648 358.7669 521.8849 
0.379968 357.1736 521.8257 
0.3883008 355.156 522.378 
0.3966336 353.2132 522.7305 
0.4049536 352.2047 523.7834 
0.413312 351.3217 524.939 
0.421632 349.5459 526.0483 
0.4299264 347.4485 526.8187 
0.4382848 345.5096 527.278 
0.4466176 343.8768 528.755 
0.4549376 342.3521 529.9624 
0.4632704 340.2174 531.2926 
0.4716032 338.0416 532.4525 
0.479936 336.7153 533.1346 
0.4882688 335.2266 534.1694 
0.496576 333.8907 534.3837 
0.5049216 332.718 533.605 
0.5132416 331.16 532.8245 
0.5215872 328.6083 532.3129 
0.5299072 326.8867 532.2322 
0.53824 325.6104 531.7813 
0.5465728 323.227 531.1563 
0.5549056 321.1778 530.3441 
0.5632256 320.158 529.5887 
0.5715584 318.6934 528.9385 
0.5798784 316.8066 528.2035 
0.5881984 315.2289 526.997 
0.5965312 314.113 525.3627 
0.6048768 313.3711 523.8896 
0.6131712 312.7776 522.3065 
0.6215424 311.7572 521.0058 
0.6298496 309.9185 519.3095 
0.6381824 308.5045 517.5595 
0.6465024 307.3296 515.9144 
0.6548608 306.5828 514.7755 
0.663168 305.1607 512.8035 
0.6715008 303.9473 510.8352 
0.679808 302.8341 509.4077 
0.6881536 301.3795 507.6841 
0.6964864 299.8894 505.8246 
0.7048064 297.8852 503.7174 
0.713152 296.4366 501.859 
0.7214976 294.8882 500.2004 
0.7298048 293.5555 498.379 
0.738112 292.5864 496.6667 
0.7464576 291.057 494.4172 
0.7548032 289.554 491.9526 
0.763136 288.2084 489.9316 
0.771456 286.6185 488.8823 
0.7798144 285.3035 487.8986 
0.7881216 283.7341 486.7597 
0.796416 281.7694 485.1122 
0.8047872 280.054 484.3381 
0.8130944 278.5595 483.4027 
0.8214272 277.2981 482.8623 
0.8297728 275.8683 482.2522 
0.8381056 274.4506 481.2121 
0.8464256 273.5491 480.8127 
0.8547584 272.1742 480.205 
0.8630656 270.448 479.5315 
0.871424 269.528 479.4975 
0.879744 268.6512 479.4761 
0.8880512 267.8055 479.8701 
0.8963584 267.1683 480.2115 
0.9047424 266.2689 480.5781 
0.9130752 265.7711 481.1808 
0.9218304 264.9086 481.9992 
0.9297408 263.9617 482.6718 
0.9380352 263.6825 482.9667 
0.946368 263.1263 483.1189 
0.954752 262.6525 483.3609 
0.9630336 262.9196 483.3786 
0.9713408 262.7576 483.4933 
0.9797632 262.7263 483.555 
0.9880192 262.6658 483.6251 
0.9963264 262.6327 483.5587 
1.0046848 262.7792 483.4433 
1.012992 262.6909 483.4154 
1.0213248 262.5751 483.4551 
1.029696 262.7978 483.3316 
1.0379904 262.7064 483.3325 
1.0463232 262.7588 483.3828 
1.0547072 262.4504 483.3427 
1.0629632 262.7354 483.3317 
1.0727552 262.628 483.3207 
1.0796416 262.5047 483.3444 
1.0879872 262.5555 483.2853 
1.0963072 262.5988 483.3449 
1.1046272 262.5654 483.2295 
1.11296 262.5712 483.2823 
1.1213056 262.7799 483.229 
1.1296256 262.7925 483.1411 
1.1379456 262.5909 482.7003 
1.146304 262.7718 482.5412 
1.1546112 262.3505 482.3864 
1.1629056 261.8408 481.7363 
1.171264 261.862 481.4472 
1.1795968 260.9399 480.0575 
1.1879296 259.9749 479.0637 
1.1962624 259.1914 478.1545 
1.2045568 258.7008 477.1952 
1.2129152 258.6353 476.0679 
1.2212352 258.3126 475.1048 
1.229568 258.1487 473.6342 
1.2379136 258.281 472.9318 
1.2462336 258.2536 472.4453 
1.2545152 258.3367 471.6515 
1.2628992 258.3813 471.0504 
1.2712192 258.0682 469.9197 
1.279552 257.963 469.1587 
1.287872 257.7401 468.8591 
1.2962176 257.7961 468.6269 
1.3045248 257.5886 468.2265 
1.3128704 257.5289 468.0612 
1.3211648 257.4928 467.9483 
1.3295232 257.5564 468.0675 
1.3378688 257.4031 467.7738 
1.3461504 257.3878 467.7271 
1.354496 257.4388 467.7502 
1.3628544 257.3089 467.6784 
1.3711488 257.3746 467.6357 
1.3795072 257.1182 467.1709 
1.3878144 257.0652 467.0932 
1.3961728 256.6624 466.3368 
1.4044672 256.3741 465.3629 
1.4128 256.1862 464.5459 
1.4211584 256.1489 463.9326 
1.4294912 255.8794 463.2704 
1.4377728 255.1408 461.9198 
1.4461568 254.3083 459.9553 
1.4544768 253.8035 457.8456 
1.4627968 253.4595 456.2978 
1.4711424 252.9761 454.984 
1.4794752 251.9928 452.7868 
1.4877824 250.9282 450.9362 
1.4961152 249.9443 449.705 
1.5044224 248.7557 447.798 
1.5127936 248.1297 446.7525 
1.5211136 248.1179 445.6068 
1.5294208 248.2028 444.6555 
1.5377664 248.3968 443.462 
1.5460992 248.6148 442.0806 
1.5544192 248.7442 440.5345 
1.5627648 249.044 439.5325 
1.571072 250.0793 439.5579 
1.5794048 250.1391 439.2699 
1.5877248 249.998 439.5885 
1.5965568 249.8547 439.0607 
1.6043904 249.2573 438.3654 
1.6127104 248.5251 437.4207 
1.6209664 247.8951 436.1584 
1.6293632 247.6296 435.3276 
1.6377088 247.6658 434.6214 
1.6460544 247.6352 433.7805 
1.6547712 247.8278 433.7514 
1.6626944 248.0605 433.4786 
1.67104 248.5543 432.7625 
1.67936 248.8011 431.7532 
1.687808 249.0905 431.687 
1.6960128 249.2406 431.0656 
1.7043328 249.7727 430.6099 
1.7127296 250.1949 430.3861 
1.7209984 250.2828 429.0019 
1.7293312 250.3006 427.7548 
1.7376768 250.4117 426.3437 
1.7459968 250.578 425.0129 
1.754304 250.3832 423.3389 
1.7626624 250.5195 421.2116 
1.7709952 250.9086 418.9594 
1.7792768 251.0939 417.1326 
1.7876864 251.3538 415.5959 
1.795968 251.4454 413.5188 
1.8057344 251.7125 410.853 
1.812608 252.1101 408.3031 
1.8209664 252.5521 406.6382 
1.8292864 252.6505 404.9695 
1.8376192 253.1782 403.0212 
1.845952 252.8873 400.1371 
1.854272 252.4844 397.6393 
1.8626176 252.5144 394.8305 
1.8709248 252.7787 392.9488 
1.8792576 253.3343 390.2216 
1.8875904 254.3878 387.5044 
1.8959104 255.6188 384.8178 
1.904256 256.433 382.581 
1.912576 256.8933 380.2852 
1.9209088 256.9825 377.775 
1.9292288 257.3616 375.2872 
1.937536 257.9467 373.3057 
1.9459072 258.3613 371.7672 
1.9542144 259.015 369.8357 
1.9625472 259.5099 368.3906 
1.9709184 260.3417 366.3791 
1.9792256 261.091 364.6035 
1.9875072 261.7718 362.8779 
1.9958784 262.2882 361.0557 
2.0041984 262.4225 359.1268 
2.0125184 262.3166 357.377 
2.020864 262.2818 355.4747 
2.029184 262.3238 353.358 
2.0375168 262.8008 351.423 
2.0458496 263.5301 349.3324 
2.0541696 264.5356 347.1451 
2.0625152 266.0276 344.4503 
2.070848 267.2548 342.5434 
2.0791552 267.899 340.3097 
2.0875008 268.4369 338.3804 
2.0958208 268.3985 335.6465 
2.1041536 268.4858 332.8553 
2.1124736 268.7419 330.3719 
2.120832 269.5909 328.5349 
2.129152 270.1978 325.9124 
2.1374976 270.7848 323.3273 
2.1457664 271.4169 320.8318 
2.1541504 272.1408 318.7596 
2.1624576 272.5425 316.3089 
2.1707776 272.879 314.0009 
2.1791616 273.28 311.5048 
2.1874432 273.3728 310.0462 
2.1957632 273.6933 308.43 
2.2041088 274.0747 307.175 
2.2124288 274.3982 306.5457 
2.2207616 274.8047 305.7357 
2.2290944 275.3134 305.2802 
2.2374016 275.3827 305.4525 
2.2457344 275.4665 305.4531 
2.25408 275.6953 305.3777 
2.2624 275.6813 305.5543 
2.2707328 275.6342 305.5467 
2.2790912 275.715 305.5375 
2.2873856 275.7639 305.6832 
2.2957312 275.7076 305.809 
2.3040512 275.8235 305.8147 
2.3123968 275.752 306.0029 
2.3207168 275.8973 306.0184 
2.3290496 275.8269 306.2399 
2.337408 275.8503 306.3168 
2.345728 275.847 306.3265 
2.3540096 275.7866 306.4883 
2.362368 275.8014 307.0485 
2.3707008 275.6842 307.3382 
2.3790208 275.5729 307.5871 
2.3877632 275.2347 307.9352 
2.395712 274.7719 308.3398 
2.4040064 274.1881 308.6276 
2.4123136 273.6564 309.1503 
2.4208 272.6341 309.1918 
2.428992 271.8087 309.4716 
2.4373248 270.8408 310.2088 
2.4457216 270.3527 310.2872 
2.4540032 270.1872 310.8045 
2.4623104 270.3268 311.4908 
2.4706688 270.6325 312.5885 
2.4789632 270.3548 313.462 
2.487296 270.7043 314.7061 
2.4956416 270.3005 315.8259 
2.5039872 269.298 317.6141 
2.5122688 269.3558 318.1172 
2.5207168 269.7778 319.0128 
2.5289344 271.1042 319.3988 
2.5377024 271.6267 320.3733 
2.5456384 272.3226 321.041 
2.5539456 273.4649 321.7483 
2.5622656 274.8329 322.1799 
2.5706112 275.7867 322.3914 
2.5789184 276.5271 322.4178 
2.587264 276.7575 322.7397 
2.5967232 277.9573 322.9266 
2.6038784 279.116 324.1005 
2.6122752 280.359 325.1093 
2.6205952 281.2659 325.5066 
2.6288768 282.6403 325.9273 
2.637248 284.2811 326.3407 
2.6455808 286.2162 326.2559 
2.6539008 287.9333 326.1434 
2.6622208 289.9357 326.3379 
2.6705536 292.3085 326.1197 
2.6788608 293.7387 326.0496 
2.6871552 295.7273 325.7246 
2.6955008 297.5159 325.1675 
2.7039488 299.0893 324.5667 
2.7121536 301.3681 323.8217 
2.7221248 303.096 323.2242 
2.7308544 305.1041 323 
2.7395584 307.8159 322.1407 
2.7457152 310.2316 321.4807 
2.7538432 313.0514 321.2419 
2.7639296 315.3547 320.8034 
2.7705088 317.5644 320.276 
2.7791616 320.2834 319.0113 
2.7871872 322.9411 317.9451 
2.7954816 325.525 316.792 
2.8038272 327.8079 316.8031 
2.8121856 330.2287 316.0689 
2.8204416 333.0893 315.2568 
2.8288128 336.7217 314.9725 
2.8371072 339.4373 314.4633 
2.8454784 341.8378 313.6336 
2.8542464 344.3341 312.3697 
2.8620928 346.8617 310.8153 
2.8704768 349.1174 310.0341 
2.8788224 351.4656 309.5396 
2.8871552 353.8269 308.8326 
2.8954368 357.015 308.0241 
2.9037824 360.118 307.8755 
2.9121024 362.6904 307.3492 
2.9209344 365.0584 306.5794 
2.9289216 368.0238 305.3927 
2.937088 370.8537 303.6917 
2.94592 373.5318 303.0086 
2.9541888 376.3275 302.8607 
2.9620608 379.2926 302.1102 
2.9704192 382.2095 301.6044 
2.9787136 385.6435 301.3674 
2.9872128 388.3362 300.8602 
2.9954048 391.3745 299.5816 
3.0037376 393.8169 298.6639 
3.0122112 396.3719 297.7962 
3.0231808 399.0619 297.3071 
3.0291968 401.5236 296.7985 
3.0370688 404.8185 296.822 
3.0453888 407.9499 296.8319 
3.053696 410.7617 296.3391 
3.062208 413.3813 296.1846 
3.0703744 416.6564 295.2263 
3.0787072 419.7943 294.0543 
3.0871424 422.8573 293.4273 
3.0953728 425.3027 293.1238 
3.1041024 428.5017 292.8521 
3.1119872 431.4655 293.4065 
3.1203456 434.7007 293.7565 
3.1286784 436.8571 293.707 
3.1370368 439.3981 293.4987 
3.1453184 442.3287 292.8054 
3.153664 444.1699 292.2982 
3.161984 446.6345 291.9858 
3.170816 449.1476 291.7841 
3.1789696 452.6107 291.3669 
3.1869952 456.134 291.2484 
3.1953152 459.1504 291.2127 
3.2036352 461.4866 291.1849 
3.211968 464.1399 291.243 
3.220288 467.7752 291.0033 
3.228608 470.7215 290.7564 
3.2369664 473.5231 290.6561 
3.2452864 475.8178 290.8286 
3.2540544 479.4144 291.1476 
3.2624 482.2085 291.5882 
3.2702848 484.1573 291.989 
3.2786048 486.2735 292.3767 
3.286912 488.5435 292.3432 
3.2952704 492.0146 292.5175 
3.3035776 494.5141 292.3404 
3.3119232 496.7909 292.4369 
3.3202432 499.3217 292.6557 
3.32896 503.0376 293.2027 
3.3369088 505.887 293.8273 
3.3452416 508.9162 294.0297 
3.3535616 511.0469 293.8953 
3.3619072 514.6653 293.6634 
3.37024 518.055 293.7083 
3.37856 520.5212 293.8276 
3.3869824 523.02 294.394 
3.3952 526.0789 294.6814 
3.406336 529.5897 295.2073 
3.4118144 532.465 295.6757 
3.42016 535.3156 296.1505 
3.4285056 537.526 296.3166 
3.4368768 541.1494 296.7408 
3.4451968 544.8465 296.493 
3.4535296 547.3589 296.0931 
3.461824 550.2261 296.513 
3.4701952 553.4762 297.1067 
3.4789248 556.509 298.0743 
3.4868096 559.1187 298.9377 
3.495168 562.0997 299.4349 
3.5035008 564.5235 299.9221 
3.5119104 567.764 299.7556 
3.5201408 570.4547 299.7784 
3.5284864 572.7784 300.0571 
3.5368064 574.8806 300.4605 
3.5455872 578.103 300.731 
3.5560192 581.3846 301.4121 
3.5618304 583.8267 302.5201 
3.570112 586.4382 303.614 
3.5784576 588.147 304.1277 
3.586752 591.6929 304.7198 
3.5968 594.9128 304.9865 
3.603456 597.7888 305.1986 
3.6117632 600.1949 305.9594 
